rating,vote,n_words,votes_per_100_words,text
4,9096,4,227400.0,1300147200. A Step Closer
4,9096,4,227400.0,1300147200. A Step Closer
5,3068,4,76700.0,1214784000. Garmin Nuvi 255w
5,3068,4,76700.0,1214784000. Garmin Nuvi 255w
5,2058,3,68600.0,"1221523200. Almost ""Untouchable"""
4,3982,7,56885.71428571428,1270252800. A leap in the right direction
5,2209,4,55225.0,"1243296000. Excellent, Compact Camcorder"
3,2016,4,50400.0,"1253750400. Great radios, BUT"
4,1990,4,49750.0,1255651200. Very good but . . . .
5,2838,6,47300.0,1253577600. Excellent features and amazing range
5,4041,9,44900.0,1244851200. The best dashboard friction mount that Garmin makes
3,2068,5,41360.0,1230163200. IMPORTANT PRODUCT USAGE INFORMATION
3,2068,5,41360.0,1230163200. IMPORTANT PRODUCT USAGE INFORMATION
5,1637,4,40925.0,1383523200. Concealable Audio Weapon
4,3199,8,39987.5,"1283731200. Nano Gains Touch, Loses Video Playing & Recording"
5,2317,6,38616.66666666667,1189900800. Ultra Flip Review and walkthrough
3,1083,3,36100.0,1246060800. No Tuners
5,2148,6,35800.0,1188432000. BC-700/900/1000 FAQ
5,4192,12,34933.333333333336,1260489600. Bose QC15 vs. Sennheiser PXC 450 vs. Audio-Technica ATH-ANC7b
4,1048,3,34933.333333333336,1181606400. Antennas Compared
